temperatura,humedad,viento_velocidad,viento_direccion,precip_24h,dias_sin_lluvia,precip_7d,precip_30d,temp_max_3d,fwi,ffmc,dmc,dc,elevacion,pendiente,orientacion,ndvi,tipo_bosque,mes,dia_año,ventana,provincia
10.483570765056164,95.0,0.616767483743413,215.43745804300144,4.090060770348811,2,14.331895339064111,12.637460786336517,18.44163243471662,0.13,55.84,3.34,16.32,650.0,0.57,39.6,0.14705,1,1,1,0,Palencia
7.308678494144077,60.85226808747648,2.154108745888921,68.14927313692158,14.706724439678972,9,19.87212772702771,23.146568292209118,14.61812558783479,0.02,41.05,2.81,5.07,500.0,2.1,249.5,0.7327,0,1,1,1,Gipuzkoa
11.238442690503462,78.22541012608286,29.772853961573222,285.07058109951794,0.4343291314692224,1,7.270628749335064,1.6409970457130203,18.805165837690712,6.88,83.4,6.33,20.78,500.0,0.81,345.6,0.13005,1,1,2,1,Córdoba
15.615149282040129,75.95237572621978,1.8277823207205872,156.1053900753473,6.800736453419053,0,10.491697470161592,9.678938603068683,20.219231434286375,0.14,56.73,3.27,12.72,650.0,1.6,123.6,0.17339999999999997,1,1,3,0,Guadalajara
6.82923312638332,89.99478018641949,4.102804165864018,170.08269133195185,1.1495771566791988,2,13.31740602996101,47.41780476136047,9.970188796973446,0.45,74.19,6.1,19.98,500.0,2.1,228.7,0.1547,1,1,3,1,Las Palmas
6.8293152152540975,92.46346801829009,4.431124858990377,358.9062646360463,0.5571660755063577,13,3.359118492523309,1.4872614576538326,8.910355673521972,0.93,82.36,6.07,19.98,500.0,2.39,323.1,0.08415,2,1,4,1,Almería
15.896064077536955,85.31250118083696,14.253167429472445,101.61784294658932,2.510701534845445,10,12.28474345429104,51.09205809294989,18.1586423134232,0.63,72.12,4.38,21.62,500.0,0.57,39.6,0.14705,1,1,5,0,Palencia
11.837173645764544,81.71312794567292,13.392730795982851,141.88968147877588,4.373978813380067,10,10.60390369663482,6.123808832006125,18.195679209633173,0.41,64.18,3.47,16.09,650.0,1.53,27.5,0.5729000000000001,2,1,6,0,Cantabria
5.652628070325239,86.00018366235693,5.625053836004173,243.52675484547143,8.772836980296866,2,5.853056750488587,10.91861758246042,9.831713142652692,0.06,48.19,2.74,7.67,100.0,0.06,141.3,0.44285,2,1,6,1,Huelva
10.712800217929823,77.81695950320983,3.99054961222641,316.9486872684869,5.035070185128512,0,4.166665435349038,37.98348736340312,16.634206933226782,0.18,57.94,3.36,14.78,650.0,0.05,90.0,0.0629,0,1,7,0,Cádiz
5.682911535937689,82.30289566551815,22.1927057399442,45.64116240625121,0.0,0,36.36643426263712,43.39469921855026,10.99929982930254,4.36,82.91,6.15,19.78,500.0,0.05,90.0,0.0629,0,1,8,1,Cádiz
5.671351232148716,95.0,41.60615792096577,264.616490313779,1.682032758421706,6,42.91718915462748,7.102671724448204,13.55062017646446,4.41,70.43,5.24,19.77,500.0,1.1,65.9,0.10454999999999999,1,1,9,2,León
9.209811357830173,76.48735577110702,1.3137651710566616,330.5809893583982,1.7304631259110717,8,11.877923619586907,15.594721556561009,15.485845861724052,0.34,71.45,5.39,20.41,500.0,0.26,274.2,0.09605,2,1,9,1,Salamanca
